GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cine,es.deusto.proyecto.cine.dto,PeliculaDTO,16,50,0,0,8,20,4,10,4,10
cine,es.deusto.proyecto.cine.dto,SalaDTO,19,27,0,0,10,10,5,5,5,5
cine,es.deusto.proyecto.cine.dto,UsuarioDTO,37,39,0,0,18,14,10,6,10,6
cine,es.deusto.proyecto.cine.dto,EmisionDTO,0,46,0,0,0,20,0,10,0,10
cine,es.deusto.proyecto.cine.dto,CompraDTO,0,46,0,0,0,20,0,10,0,10
cine,es.deusto.proyecto.cine.service,PeliculaService,9,209,6,8,1,43,6,14,0,13
cine,es.deusto.proyecto.cine.service,UsuarioService,36,166,0,8,7,36,2,14,2,10
cine,es.deusto.proyecto.cine.service,EmisionService,33,178,1,7,3,43,6,11,5,8
cine,es.deusto.proyecto.cine.service,CompraService,80,181,7,5,15,44,11,10,6,9
cine,es.deusto.proyecto.cine.service,SalaService,36,122,3,3,7,29,5,8,2,8
cine,es.deusto.proyecto.cine.model,Sala,19,34,0,0,8,15,2,10,2,10
cine,es.deusto.proyecto.cine.model,Rol,0,24,0,0,0,2,0,1,0,1
cine,es.deusto.proyecto.cine.model,Compra,26,40,0,0,8,17,2,10,2,10
cine,es.deusto.proyecto.cine.model,Emision,25,31,0,0,10,14,3,9,3,9
cine,es.deusto.proyecto.cine.model,Pelicula,31,45,0,0,12,20,3,13,3,13
cine,es.deusto.proyecto.cine.model,Usuario,31,55,0,0,12,24,2,16,2,16
cine,es.deusto.proyecto.cine.controller,EmisionController,104,3,4,0,26,1,9,1,7,1
cine,es.deusto.proyecto.cine.controller,SalaController,55,3,4,0,15,1,7,1,5,1
cine,es.deusto.proyecto.cine.controller,PerfilController,33,3,2,0,8,1,2,1,1,1
cine,es.deusto.proyecto.cine.controller,IndiceController,20,3,2,0,5,1,2,1,1,1
cine,es.deusto.proyecto.cine.controller,TiendaController,35,8,2,0,7,2,4,1,3,1
cine,es.deusto.proyecto.cine.controller,PeliculaController,82,3,6,0,22,1,8,1,5,1
cine,es.deusto.proyecto.cine.controller,AutenticacionController,18,6,0,0,5,3,3,1,3,1
cine,es.deusto.proyecto.cine.controller,AdminController,175,15,2,0,44,6,16,1,15,1
cine,es.deusto.proyecto.cine.controller,CompraController,179,15,12,0,41,6,13,1,7,1
cine,es.deusto.proyecto.cine.controller,UsuarioController,55,3,4,0,15,1,7,1,5,1
cine,es.deusto.proyecto.cine,CineApplication,5,3,0,0,2,1,1,1,1,1
cine,es.deusto.proyecto.cine.security,ConfiguracionSeguridad,0,158,0,0,0,30,0,10,0,10
cine,es.deusto.proyecto.cine.security,AutUsuarioService,44,6,0,0,9,3,2,1,2,1
